  39635.63	  10000001
  46875.75	  10000002
  26576.75	  10000006
  39477.62	  10000007
  28917.67	   1000001
     84.50	  10000016
   3194.75	  10000018
  19532.33	  10000024
  29028.67	   1000003
  40159.22	  10000033
  25330.67	  10000036
  36596.33	  10000037
  44030.36	  10000038
  45196.65	   1000004
  30304.50	  10000048
  42926.00	  10000054
  40440.71	  10000058
  56947.67	  10000061
  22444.25	  10000068
  32156.50	  10000069
  46678.71	   1000007
  43114.00	  10000077
  30125.86	  10000078
  43131.00	  10000079
  39606.00	  10000087
  35952.60	  10000091
  34768.00	  10000093
  34997.00	  10000096
  30033.62	  10000098
    842.50	  10000104
  28222.67	  10000111
  37765.27	   1000012
  53238.80	  10000121
  15050.00	   1000013
  43036.50	  10000131
  51368.67	  10000132
  35631.33	  10000136
  42621.67	   1000014
  43628.04	   1000015
  16059.00	  10000156
  46009.67	  10000159
  24312.50	  10000164
  21833.00	  10000171
   1307.00	  10000178
  33780.80	  10000182
  41365.50	  10000183
  34955.60	  10000184
  28858.00	  10000185
  25355.40	   1000019
  49227.43	  10000198
  50394.23	  10000199
  37397.38	   1000021
  35481.80	  10000224
  32512.33	  10000227
  40629.71	  10000228
  21405.75	  10000232
  62126.50	  10000242
  51665.00	  10000246
  31604.62	  10000248
  31066.25	   1000026
  48077.80	  10000263
  41974.50	  10000264
  29324.33	  10000268
  33667.14	   1000027
  15907.00	  10000277
  49990.80	  10000278
  34363.00	   1000028
  28396.80	  10000280
  10342.67	  10000290
  27966.68	  10000298
  29340.75	   1000030
  35220.19	  10000301
  40565.34	  10000302
  31407.00	  10000310
  34597.40	  10000312
  28838.33	  10000316
  53089.67	  10000325
  41120.50	  10000332
  16945.50	  10000339
  38540.67	  10000341
  20565.25	  10000343
  28621.80	  10000351
  24751.50	  10000372
  32182.67	  10000383
  21169.00	  10000385
   4614.00	  10000390
  40625.75	  10000403
  18933.12	  10000413
  16810.00	  10000414
  42152.48	  10000415
  37035.50	  10000430
  40017.75	   1000044
  42295.83	  10000446
  38112.50	  10000447
     35.00	  10000448
  44041.14	   1000045
  41273.90	  10000450
  42678.50	  10000452
  28867.00	  10000456
  40848.00	   1000046
  45553.51	  10000461
  28906.20	   1000048
  34522.80	   1000049
  17907.50	  10000491
    332.67	  10000498
    426.50	  10000505
  18165.00	  10000513
  44465.50	  10000519
  31867.75	  10000520
  39358.00	  10000522
  26324.50	  10000532
   2063.00	  10000533
  13098.00	  10000539
  37665.50	  10000541
  43137.75	   1000055
    408.00	  10000553
  37355.71	  10000555
  43053.50	  10000561
  35955.75	  10000568
  57343.67	  10000575
  38218.64	  10000576
  37216.14	   1000058
  16378.67	  10000582
  13520.50	  10000583
    546.50	  10000584
  43108.50	  10000596
  43063.50	  10000601
  14632.33	  10000604
    181.50	  10000606
  33685.93	  10000608
   2893.00	  10000613
   1506.50	  10000623
  38021.33	   1000063
   8437.50	  10000631
  34243.60	  10000644
  25666.00	  10000645
   2072.33	  10000646
   2506.50	  10000667
  45512.94	  10000674
  33385.00	   1000068
  51055.00	  10000706
  26224.67	  10000708
  28052.67	  10000709
  35575.40	   1000071
  41715.67	  10000716
  11005.00	  10000719
  22936.67	   1000072
  29773.20	  10000721
  31979.50	  10000727
  31739.42	  10000728
  35657.41	  10000731
  34967.67	  10000732
  38316.50	  10000736
    332.50	  10000739
  40878.50	  10000750
  48006.80	  10000751
  39497.50	  10000753
  39721.67	  10000762
   9691.33	  10000771
    180.50	  10000775
  36346.00	  10000777
  51928.20	  10000791
  16078.00	  10000799
  21673.25	  10000800
  25216.50	  10000805
  28794.00	  10000808
  11356.25	   1000082
  28078.50	  10000820
  40349.80	  10000825
  48284.20	  10000830
  36651.00	  10000832
  42909.00	  10000833
  39793.50	  10000836
  37581.50	  10000840
  17086.50	  10000845
  34568.00	  10000851
  30876.67	   1000086
  36247.00	  10000861
  27456.20	  10000867
  35135.00	  10000875
  48657.19	   1000088
  37695.00	  10000882
  42005.11	   1000089
   4623.00	  10000914
  43033.50	   1000092
  35614.00	  10000928
  32234.50	  10000938
  28735.78	  10000942
  41040.00	  10000943
  42820.50	  10000946
   1330.00	  10000950
  42894.64	  10000952
  11681.33	  10000959
  34464.40	   1000096
  56204.00	  10000967
  57535.67	   1000097
  42418.00	  10000993
  41365.50	  10001003
  17444.67	  10001023
  21426.75	  10001029
  34885.20	  10001035
  21820.00	  10001039
  43016.00	  10001045
  32818.25	   1000105
  43006.50	  10001055
  34997.50	  10001057
  42798.75	  10001078
  33737.44	   1000108
  27879.47	  10001083
  41314.15	   1000110
  14766.00	  10001109
   5245.00	  10001114
  46559.59	  10001118
  42467.31	  10001121
  12793.00	  10001134
  42837.00	  10001137
   8912.50	   1000114
  29675.75	  10001150
  35929.50	  10001158
  43061.00	  10001164
  23790.67	  10001170
  25871.00	  10001173
    310.00	  10001180
   8712.33	  10001182
   3627.50	  10001192
  23624.60	  10001198
  32151.20	  10001206
  41683.72	  10001218
  26776.50	  10001225
  34139.50	  10001226
  43632.67	  10001238
  36575.33	  10001244
  29047.07	  10001245
    367.50	  10001251
    145.00	  10001253
  36417.20	  10001263
   3660.50	  10001268
  43656.75	  10001270
    251.00	  10001273
  32586.09	   1000129
  48296.83	  10001297
  29349.67	  10001301
     70.50	  10001306
  24140.67	  10001312
  24156.57	   1000132
  41888.00	  10001328
  37441.33	  10001332
  32726.75	   1000134
  43117.50	  10001344
  36190.00	  10001354
  24510.33	  10001357
  42774.50	  10001360
  42689.00	  10001363
  51328.60	  10001371
  21942.00	  10001374
   2008.00	  10001377
  38995.00	   1000138
  39678.00	  10001381
  48843.75	  10001410
  39974.17	  10001411
    441.00	  10001425
  37578.00	  10001429
  42060.00	  10001432
  25703.33	  10001456
  26358.14	   1000146
   2321.50	  10001468
   6507.50	  10001469
  45880.60	   1000147
  37586.05	  10001476
  13325.67	  10001478
  33027.20	   1000148
  41227.50	  10001481
  21133.00	  10001484
   9564.00	  10001487
  27920.33	  10001497
  39049.20	  10001498
  48197.42	  10001519
  55494.67	  10001521
  17338.33	  10001523
   2536.00	  10001527
  17441.50	  10001538
  11547.50	  10001544
   3173.75	  10001549
  21520.67	  10001550
  41062.29	  10001557
  41920.00	  10001561
  49751.20	  10001564
    149.00	  10001571
  19623.00	  10001590
  19141.25	  10001591
    248.33	  10001595
  30907.00	  10001600
    459.00	  10001608
  37337.43	   1000161
  28119.00	  10001631
  48049.00	  10001634
  17993.00	  10001652
  34546.80	  10001654
  21554.67	  10001659
  51966.67	  10001665
  39302.40	   1000167
  34044.20	  10001678
  46063.80	  10001683
   7466.00	  10001684
    289.00	  10001685
  29403.00	  10001687
   8197.50	  10001688
  38528.00	  10001689
  45911.43	  10001690
  37299.00	  10001692
  47014.00	  10001703
  10378.00	  10001707
   2042.50	  10001713
  35148.00	  10001720
  42270.50	  10001737
   9102.50	  10001748
  32706.83	   1000175
  40909.67	  10001751
  33644.67	  10001756
  28269.67	  10001758
  21506.50	  10001761
  20695.20	  10001768
  22344.20	  10001771
  41773.50	  10001773
  25832.67	  10001774
     71.00	  10001778
  44998.00	   1000178
    707.00	  10001780
  36103.00	   1000179
  44542.03	  10001791
  37951.50	  10001793
  43009.50	  10001798
   3193.50	  10001802
    255.00	  10001804
  29052.00	  10001814
    365.33	  10001816
  52510.50	  10001821
  28087.00	  10001823
  41231.00	  10001824
  17194.20	   1000183
    110.50	  10001831
   1577.00	  10001836
  20737.67	  10001837
  47631.60	  10001838
  28359.00	  10001843
  28958.33	  10001845
  46444.12	  10001850
  37426.17	  10001859
  43668.73	   1000186
  26155.00	  10001862
  12895.50	  10001868
  43708.75	   1000187
  29124.67	  10001883
  30277.25	  10001887
  24297.75	   1000190
  42842.21	  10001902
  34567.20	  10001906
  22298.75	  10001910
  47123.60	  10001913
  22236.50	  10001917
  44833.00	  10001918
    209.50	  10001927
  38417.33	  10001934
  35435.67	  10001937
  22954.00	  10001942
    190.50	  10001962
